,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
3665,0,4,3,3,3,66,21,22,10,52,2,11,0,3,5,66,814,970,0,0,3287,1,0,10089,2126,823,1758,1,620,910,0,99,1,2,855,0,1,89,1,2
3666,1,4,15,3,3,52,35,2,2,16,2,1,0,3,7,321,8,10,0,4,1813,4,0,1502,1340,9,1157,2,1238,10,0,777,1,2,10,0,1,9,1,2
3667,0,4,4,7,4,33,42,2,12,6,2,1,0,5,0,164,35431,217,0,4,422,1,0,543,382,36004,350,1,425,361,0,304,1,2,327,0,1,191,1,2
3668,0,4,7,16,11,68,31,8,13,30,2,7,3,13,3,37,0,15,0,5,1118,19,0,909,251,0,233,2,55,3,6,49,274,0,3,0,9,21,0,9
3669,0,2,13,5,7,117,35,7,13,20,1,1,0,1,3,164,1360,217,30,0,6176,1,0,15391,770,1376,694,1,425,361,0,304,1,2,327,0,1,191,1,2
3670,0,1,3,3,3,12,10,2,0,5,2,1,0,3,0,84,8309,9619,0,0,1155,1,0,4468,920,8411,818,2,231,9086,5,124,379,3,8663,1,6,1526,13,1165
3671,0,0,1,0,5,85,6,1,3,20,0,0,3,7,0,32,539,39,3,5,1148,1,0,203,246,552,229,1,671,627,1,446,1,2,578,1,8,35,1,2
3672,0,6,7,22,12,45,6,19,13,28,0,0,0,17,0,11,930,1102,0,0,554,1,0,17824,169,940,159,0,958,1038,0,615,1,2,977,0,7,861,1,2
3673,0,4,1,10,11,48,8,20,14,42,2,2,2,13,2,84,7653,8883,0,4,176,1,0,1825,164,7745,154,9,333,8369,7,124,0,3,7979,0,4,21,13,9
3674,0,2,53,12,8,25,6,1,12,35,1,1,3,9,3,11,455,572,0,0,8906,1,0,5847,2138,465,1764,2,956,534,1,402,1,2,484,0,1,184,1,2
3675,0,4,45,3,3,12,7,4,1,23,2,1,0,3,3,14,63,78,0,0,161,9,0,18561,151,64,54,1,506,72,5,80,0,0,71,0,1,68,4,48
3676,0,1,7,7,10,2,20,7,8,20,3,2,0,10,3,130,27582,29871,6,2,7487,1,0,2,2025,28021,1680,9,392,30219,0,281,0,3,28802,0,1,749,12,565
3677,1,4,7,2,3,111,0,1,2,28,2,0,0,3,7,11,35465,9725,3,1,3944,1,0,2476,1034,36038,911,5,3858,38276,0,1976,1,2,36856,0,1,6511,1,2
3678,0,1,0,8,8,50,20,1,9,28,0,1,0,9,7,66,735,232,0,1,2645,1,0,10791,1547,745,1310,1,634,221,0,380,1,2,776,0,1,89,1,2
3679,0,2,3,3,3,66,14,2,12,13,1,0,3,3,3,98,1184,1401,0,1,1724,1,0,1152,754,1202,679,1,681,1305,1,145,0,0,1250,0,6,1087,12,822
3680,0,2,0,3,3,136,14,3,6,10,1,3,0,3,84,4,0,4,0,1,1878,5,1,6366,1381,3,1188,0,338,4,5,246,1,2,4,0,4,4,1,2
3681,1,10,8,10,7,81,0,15,5,4,3,0,0,1,3,37,0,15,5,0,279,1,0,295,251,0,233,2,55,3,1,49,385,0,3,3,9,20981,3,16664
3682,0,2,14,4,9,139,3,3,9,15,1,3,0,0,3,276,932,3634,3,4,3575,14,0,2,2255,3080,1849,7,2144,3343,4,609,0,1,3202,0,2,2629,4,2014
3683,1,6,31,29,7,101,34,9,15,30,2,8,0,1,14,9,1168,1389,0,6,1701,5,0,2983,437,1187,403,2,605,1288,0,118,0,1,1235,0,9,1079,2,379
3684,0,2,3,3,3,29,13,4,14,22,1,1,0,3,7,313,5,2,3,0,2287,5,0,675,664,6,498,1,2197,7,6,754,1,2,7,1,0,2,1,2
3685,1,4,15,5,1,117,2,0,4,19,2,1,3,6,7,285,0,10839,3,1,2427,5,0,1375,396,0,363,1,1052,11834,0,672,1,2,24643,0,9,980,1,2
3686,0,4,17,2,7,59,3,3,12,1,2,3,0,1,3,66,375,232,0,1,541,0,0,496,94,380,92,9,496,221,0,99,1,2,400,0,6,89,1,2
3687,0,5,13,5,9,108,9,7,10,18,0,1,0,0,3,84,35516,36895,0,6,285,5,0,1970,257,36094,238,0,158,38341,0,124,1583,0,36913,0,9,21002,0,16677
3688,0,2,3,3,3,76,47,4,1,4,1,3,0,3,3,177,0,8208,0,5,178,1,0,14386,166,0,156,5,1255,21982,1,788,1,2,3,0,1,5541,1,2
3689,0,1,1,4,5,2,14,5,13,41,0,2,3,7,0,216,1363,1034,0,5,924,1,0,455,9,1379,9,0,1146,1494,0,687,0,1,1431,0,9,43,2,24
3690,0,2,1,15,9,167,3,3,8,34,1,3,0,0,5,1,62,76,0,0,5100,1,1,2,3307,63,2306,1,1,71,4,1,0,1,69,0,0,66,2,514
3691,0,4,4,3,3,0,20,2,9,13,2,0,0,3,0,100,5,2,0,2,272,1,0,343,138,6,7,7,936,7,1,600,1,2,7,0,1,2,1,2
3692,0,2,1,10,7,149,3,3,6,10,1,3,0,1,3,28,0,15,23,5,3089,1,1,2,403,0,370,12,399,3,5,32,0,0,3,4,1,138,0,100
3693,1,1,33,2,8,94,4,6,10,44,0,4,0,4,3,35,9861,2678,0,5,2023,1,0,1697,1458,9978,1244,1,53,10866,0,47,0,1,10306,0,1,1990,19,922
3694,0,2,4,4,9,94,34,10,0,33,1,1,0,0,13,171,327,407,0,1,6859,14,0,2,3314,333,465,1,453,387,0,320,1,2,352,0,1,14,1,2
3695,0,4,19,18,10,101,6,15,11,37,2,0,3,10,13,37,421,525,12,1,249,1,0,8931,76,429,74,9,101,493,0,49,14,3,447,0,6,21,3,9
3696,0,4,1,2,3,14,54,16,12,16,2,1,0,3,0,70,82,106,6,5,335,0,0,543,473,84,280,1,129,98,0,104,1,2,92,0,8,92,1,2
3697,1,2,1,2,3,12,4,15,1,32,1,0,0,3,0,201,4559,5312,0,1,29,1,0,7,3,4614,3,5,669,4971,0,384,0,3,4759,0,0,1067,4,327
3698,0,3,13,7,5,30,6,2,9,35,0,1,0,7,3,67,0,101,0,1,5826,9,0,2,1445,79,1235,1,157,93,0,101,1,2,87,0,1,4,1,2
3699,0,2,3,21,3,43,3,13,1,31,1,9,0,3,0,109,0,1239,3,1,104,1,1,2,99,0,97,1,363,3,8,169,1,2,3,0,2,156,1,2
3700,1,2,15,2,3,98,3,13,1,31,1,9,0,3,3,12,1899,5261,3,4,3438,5,0,1655,165,35028,155,0,381,37252,1,274,73,1,35828,0,1,287,2,207
3701,1,10,15,26,4,102,20,5,3,6,0,6,0,5,3,61,0,36937,3,5,896,19,0,674,428,0,394,10,588,38387,0,91,135,3,3,1,1,2299,26,8915
3702,0,4,33,7,3,47,44,4,6,6,2,1,0,3,0,29,1757,2072,1,5,225,1,0,179,209,1775,195,2,102,1924,0,84,0,0,1835,3,1,21,4,557
3703,0,0,8,7,5,50,20,4,12,25,0,1,0,7,3,67,0,101,0,1,786,5,0,171,209,79,195,1,124,93,5,101,1,2,87,0,4,4,1,2
3704,1,4,0,5,9,3,6,4,6,9,2,1,0,0,13,126,8,10,0,0,2409,5,0,2,1692,9,543,1,272,10,5,201,1,2,10,0,2,9,1,2
3705,1,2,3,3,3,20,12,2,2,22,1,1,0,3,45,242,18445,3383,6,5,183,5,0,148,12,18727,12,0,765,3122,0,505,1,2,19322,0,8,676,1,2
3706,0,0,1,44,8,46,20,4,12,25,0,1,0,9,7,9,1063,1269,0,0,6815,1,0,11440,2970,1080,2339,1,606,1183,5,118,0,1,1123,3,1,985,2,53
3707,0,2,1,2,3,76,42,15,6,36,1,1,0,3,3,11,4632,5409,0,4,5007,0,0,7440,2863,4691,2282,5,2757,5054,0,1060,1,2,4834,0,1,2090,1,2
3708,0,0,19,3,9,30,13,4,16,10,0,1,0,0,7,3,35655,5462,0,1,996,1,0,4526,815,1654,729,1,70,5099,5,60,1,2,10323,0,1,3,1,2
3709,0,4,4,2,3,8,3,13,2,31,2,9,0,3,15,54,8,10,0,5,580,1,0,440,1406,9,470,2,964,10,0,616,1,2,10,1,1,9,1,2
3710,0,3,0,0,5,0,8,7,13,41,2,2,0,7,2,37,421,525,1,0,2424,1,0,2,415,429,382,2,55,493,0,49,14,3,447,1,0,21,3,9
3711,0,4,0,5,1,139,8,1,6,7,2,0,3,6,3,84,0,15,0,6,2287,0,0,675,746,0,498,1,315,3,6,124,0,0,3,3,8,21061,13,16710
3712,0,3,22,11,4,88,6,7,13,41,0,2,0,5,3,67,0,101,0,1,335,1,0,721,473,79,280,1,124,93,0,101,1,2,87,0,8,4,1,2
3713,1,2,18,12,7,30,7,4,6,40,1,1,3,1,7,216,0,410,0,0,1320,0,0,860,966,0,854,2,1118,389,2,427,513,3,355,0,0,43,2,389
3714,1,4,3,4,3,139,27,4,4,28,2,1,0,3,3,130,273,340,0,4,122,1,0,2588,116,278,113,9,392,322,5,281,0,3,295,0,1,81,12,215
3715,1,3,1,35,9,120,19,10,9,42,0,2,0,4,2,37,0,15,0,1,999,1,0,1353,44,0,43,9,101,3,0,49,120,3,3,5,6,19556,3,15483
3716,0,0,6,7,5,88,6,4,12,25,0,1,0,7,3,67,0,101,0,1,9,1,0,3,3,79,3,1,157,93,5,101,1,2,87,0,0,4,1,2
3717,0,2,9,0,4,25,57,15,8,50,1,3,0,5,2,3,31358,3593,0,1,142,5,0,111,135,31845,130,1,70,14786,0,60,1,2,28989,0,0,3,1,2
3718,0,2,3,3,3,43,3,13,1,31,1,9,0,3,40,11,804,178,0,2,1166,1,0,2,928,814,825,10,864,173,8,171,1,2,156,0,2,158,1,2
3719,0,4,1,10,6,122,3,3,5,1,2,3,0,8,3,36,35693,30082,0,4,2334,1,1,2408,1290,13904,1117,1,939,38503,0,48,0,0,37074,0,1,3278,4,2544
3720,0,2,4,5,3,98,3,3,4,29,1,3,0,3,3,125,440,551,0,4,3481,1,0,5572,2210,450,1816,1,267,517,3,197,0,0,468,0,1,455,4,143
3721,0,2,1,2,1,43,3,3,6,1,1,3,0,6,16,122,483,606,3,4,3738,1,1,2,1243,495,928,0,4064,569,8,2069,0,1,517,0,2,338,0,246
3722,0,2,0,22,8,61,8,19,11,28,1,1,2,9,7,36,3584,4227,0,5,1557,32,0,3224,474,3627,437,2,644,3922,6,56,0,3,3760,0,6,3034,4,4265
3723,1,4,0,4,3,14,10,4,2,5,2,1,0,3,0,29,29336,31364,0,4,537,1,0,1640,477,29798,440,12,744,31986,5,84,467,3,30584,0,1,21,4,9
3724,0,3,0,15,15,0,18,7,11,40,2,2,0,17,7,447,34034,17448,1,5,5070,1,0,42,2765,34574,2216,2,5510,36788,0,1667,0,1,35392,0,0,5276,0,296
3725,0,4,26,3,3,70,78,7,1,44,2,3,0,3,3,94,2,2,5,0,1181,1,0,2559,469,2,433,2,419,2,0,140,1,2,2,0,0,2,1,2
3726,1,2,0,4,3,64,20,2,0,5,1,3,0,3,13,12,4433,5174,3,5,4309,16,0,6296,2583,4486,2084,2,52,4843,0,12,93,0,4626,0,1,2798,2,2839
3727,0,2,34,4,6,121,12,2,4,22,1,1,3,8,16,107,138,171,0,1,531,5,0,403,2673,141,434,2,674,166,0,447,1,2,149,0,1,154,1,2
3728,1,2,3,3,3,96,10,10,1,5,1,1,0,3,56,313,5,2,5,5,897,1,0,2427,664,6,498,2,4690,7,0,754,1,2,7,0,0,2,1,2
3729,0,2,62,4,1,36,0,4,2,40,1,1,0,6,0,153,35727,52,0,0,335,1,0,456,306,36309,280,2,370,38538,7,267,0,0,37111,0,6,46,4,30
3730,0,4,11,2,3,37,46,16,15,37,2,0,0,3,33,12,35732,37059,0,5,1368,5,0,1900,1055,36314,929,1,50,38544,2,12,14,3,37117,3,8,5888,0,4646
3731,0,2,0,8,7,98,44,4,7,14,1,1,3,1,2,66,8,10,2,0,3655,5,0,4457,118,9,115,1,634,10,7,380,1,2,10,0,2,9,1,2
3732,1,0,26,2,1,88,38,7,8,40,0,2,3,6,3,116,2660,192,0,0,3497,1,0,3309,1234,158,1077,1,244,187,0,181,1,2,169,0,8,19,1,2
3733,0,5,8,4,8,39,38,7,13,21,3,2,0,13,3,110,1478,1743,0,5,1320,0,0,860,966,1491,854,2,980,1624,6,623,0,1,1549,0,7,889,18,672
3734,0,4,69,7,5,117,14,7,5,13,2,2,3,7,3,26,0,37077,0,0,4022,1,0,9832,1008,0,890,1,222,3,0,30,41,0,3,0,1,11988,16,9503
3735,1,0,30,5,5,94,4,10,5,29,0,0,0,4,7,12,0,33,0,1,5515,1,0,6860,3067,0,2395,0,5939,3,0,2394,26,0,3,1,9,26,2,7677
3736,0,4,0,4,6,79,8,2,5,10,2,2,3,8,0,36,0,15,0,4,29,1,0,343,3,0,3,2,123,3,0,100,0,0,3,0,1,1235,4,1008
3737,0,2,13,5,1,43,3,3,2,23,1,3,0,6,3,11,804,178,0,1,117,1,1,2,112,814,52,10,864,173,8,171,1,2,156,0,7,158,1,2
3738,1,0,1,5,7,94,10,8,8,12,0,8,0,0,3,6,4,6,0,1,833,1,0,624,708,5,640,2,6,6,0,6,1,2,6,1,9,6,1,2
3739,0,0,4,18,15,0,9,10,10,16,2,8,0,17,3,28,35805,37123,3,1,4381,27,0,2,978,36388,863,2,34,38614,2,32,14,3,37193,1,6,21,0,9
3740,0,0,32,2,1,2,19,4,2,23,0,1,0,6,2,337,35813,27784,3,2,1074,30,0,125,869,36396,776,0,1609,27774,5,839,1,2,26415,0,1,1743,1,2
3741,0,2,1,7,3,20,1,4,0,10,1,1,0,3,0,84,35817,37132,0,4,176,1,0,1825,164,36401,154,2,231,38627,5,124,392,3,37204,0,6,21,13,9
3742,0,2,3,2,3,25,47,22,1,28,1,3,0,3,0,12,35824,37137,14,4,378,5,0,383,12,36409,12,0,12,38637,0,12,1644,3,37213,0,1,21124,2,16759
3743,0,2,1,5,9,163,3,3,5,1,1,3,0,0,7,36,14673,16843,0,0,6179,1,1,2,2709,14883,109,2,54,16257,0,48,0,0,15346,1,0,10742,4,8471
3744,0,2,13,5,7,48,17,6,12,55,1,2,3,1,8,67,0,101,0,1,335,1,0,3,473,79,280,1,124,93,7,101,1,2,87,0,8,4,1,2
3745,0,6,3,3,3,88,4,18,10,7,3,7,2,3,3,69,81,105,0,4,243,5,0,42,21,83,21,1,127,97,6,103,0,1,91,0,0,19,0,43
3746,0,4,25,0,5,17,7,2,10,29,2,0,7,7,0,118,27136,2984,0,5,344,27,0,2,316,27565,289,2,351,2750,7,184,1,2,28340,0,0,2201,1,2
3747,0,2,1,11,0,163,3,3,2,36,1,3,0,6,6,84,35845,20830,0,4,434,0,1,658,175,36431,164,1,315,26647,5,124,42,0,37235,1,8,10047,13,1243
3748,0,2,15,2,1,70,24,2,6,1,1,3,0,6,3,103,2422,2885,0,1,2552,5,1,2,217,2446,202,7,3071,2656,0,1072,1,2,2535,1,4,900,1,2
3749,0,4,19,2,1,121,6,1,14,35,2,1,0,6,3,38,2,2,5,0,4534,7,0,18946,549,2,504,1,56,2,5,50,1,2,2,0,1,2,1,2
3750,1,1,23,7,11,85,20,10,11,20,0,2,0,13,3,103,6080,7090,3,1,1202,1,0,60,950,6165,843,2,828,6670,0,158,1,2,6363,0,9,145,1,2
3751,0,2,1,11,7,139,16,7,4,2,1,0,0,1,3,112,4891,5707,5,4,2812,5,0,2559,1901,4956,1589,2,232,5346,0,173,0,1,5108,0,1,3994,3,372
3752,0,4,3,2,7,67,2,10,13,34,2,2,0,1,3,36,35858,37167,0,5,238,1,0,467,209,36445,195,1,939,38673,0,48,0,3,24769,3,1,3278,4,2544
3753,0,2,3,3,3,43,3,3,4,10,1,3,0,3,3,11,0,11,0,1,727,1,1,2,630,0,238,2,1475,11,8,11,1,2,11,5,9,4,1,2
3754,1,4,2,3,3,111,24,2,2,25,2,0,0,3,3,101,213,261,0,1,3010,1,0,36,50,216,49,2,1332,245,1,820,1,2,228,0,6,227,1,2
3755,0,2,7,22,15,121,3,3,9,36,1,3,0,17,3,12,7457,8637,17,5,404,5,0,265,367,7549,336,1,50,8154,0,12,0,0,7775,0,1,21,2,9
3756,1,0,3,3,3,102,19,23,4,16,0,8,3,3,3,11,0,11,0,1,4282,1,0,18955,3060,0,952,2,173,11,0,11,1,2,11,0,0,4,1,2
3757,1,2,3,3,3,8,53,4,1,66,1,1,0,3,0,190,812,968,0,0,612,1,0,470,540,821,496,2,1048,908,0,358,0,0,852,0,1,763,20,6
3758,1,2,34,12,11,98,53,2,3,19,1,1,0,11,0,100,5,2,0,1,932,1,0,6263,771,6,695,0,1724,7,0,1010,1,2,7,0,6,2,1,2
3759,1,2,3,3,3,54,27,2,1,36,1,0,0,3,3,7,25,16,4,0,225,1,0,171,209,26,195,1,35,28,0,33,1,2,29,3,1,14,1,2
3760,0,4,31,13,9,111,40,16,6,24,2,8,0,0,3,36,2772,3292,0,4,2015,5,0,1068,1028,2799,70,1,64,3042,0,56,0,1,2902,0,1,2410,4,1853
3761,0,2,7,5,6,99,3,3,5,4,1,3,0,8,3,22,24038,5187,0,5,4716,1,0,2,2747,24429,2204,5,1995,4853,4,611,1,2,25141,0,2,880,1,2
3762,1,2,33,2,3,8,2,4,6,21,1,1,0,3,7,11,35914,37221,3,4,1446,5,0,2,1109,36509,975,1,7249,38732,5,3308,1,2,37301,0,1,21154,1,2
3763,0,0,3,3,3,88,4,7,12,33,0,7,3,3,3,0,0,4460,1,4,329,0,0,240,772,36514,274,2,132,26436,0,0,0,3,37304,0,1,19,0,2473
3764,1,10,23,5,1,147,49,10,0,5,2,0,0,6,6,6,4,6,3,1,833,1,0,4037,708,5,640,2,6,6,0,6,1,2,6,0,9,6,1,2
3765,0,2,1,2,2,127,42,4,9,12,1,1,0,11,3,336,0,37232,0,0,886,3,0,913,740,0,667,5,3542,38742,0,1443,1,2,3,1,1,2914,1,2
3766,1,0,29,2,1,85,6,8,6,34,0,4,0,6,0,11,45,56,0,0,389,1,0,4690,76,46,74,1,791,52,0,59,1,2,50,0,9,51,1,2
3767,0,4,3,5,11,111,7,19,14,19,2,2,0,13,20,14,1018,1215,3,1,142,4,0,67,135,1032,130,1,477,1136,0,179,0,3,1074,0,1,712,4,48
3768,0,2,7,34,10,126,3,3,3,5,1,3,0,18,3,110,35928,500,0,0,4696,1,0,2,1080,36527,949,0,225,38748,4,170,0,1,37318,0,1,417,18,2654
3769,0,5,1,7,7,85,18,7,12,35,0,1,0,1,6,12,2639,3135,0,5,1226,14,0,168,966,2668,854,2,52,2894,0,12,39,1,2768,0,0,21,2,9
3770,0,4,65,11,3,111,21,1,14,6,2,1,0,3,3,112,11977,13791,0,0,1178,1,0,42,949,12152,531,0,521,13270,1,173,0,1,12528,0,1,8961,3,372
3771,0,2,26,2,3,127,3,13,1,31,1,9,0,3,3,109,35963,1089,1,1,450,1,0,157,191,36565,177,1,363,6997,0,169,1,2,37349,0,1,857,1,2
3772,0,6,27,8,10,82,0,10,9,25,3,0,3,1,3,36,92,117,0,4,622,1,0,94,366,95,249,1,64,110,0,56,0,0,103,0,0,101,4,3034
3773,0,2,7,2,9,48,3,3,14,13,1,3,0,0,6,38,5,2,0,1,518,1,0,891,157,6,149,1,56,7,1,50,1,2,7,0,1,2,1,2
3774,0,4,1,5,6,108,23,1,11,45,2,1,0,8,0,14,5765,6700,0,0,2140,0,0,2,1535,5846,1298,2,15,6332,1,15,0,1,6039,0,2,2336,4,6
3775,0,0,1,8,6,85,14,2,9,21,0,2,0,13,0,80,5,2,3,0,18,1,0,379,17,6,17,5,509,7,1,119,1,2,7,0,1,2,1,2
3776,0,4,27,2,3,129,3,13,14,31,2,9,3,3,0,70,82,106,0,5,5403,1,0,3894,3026,84,2370,1,129,98,1,104,1,2,92,1,1,92,1,2
3777,0,4,27,5,9,48,13,2,16,32,2,0,0,0,13,11,750,66,0,0,12,1,0,12332,11,760,11,2,1259,850,0,40,1,2,791,0,0,59,1,2
3778,0,2,1,2,3,26,3,3,10,14,1,3,0,3,0,152,107,130,0,1,1664,5,0,1362,908,110,808,0,1822,128,3,262,0,0,117,0,9,91,12,2693
3779,0,4,34,11,2,26,15,2,15,17,2,2,2,11,65,143,224,273,0,5,2348,1,0,1273,1069,228,938,13,327,258,7,241,1,2,241,0,8,237,1,2
3780,0,12,3,3,3,26,38,6,8,14,0,1,3,3,19,14,145,179,0,5,406,4,0,5504,368,148,337,2,15,174,0,15,0,1,157,3,1,160,4,116
3781,0,4,0,5,3,121,20,22,2,28,2,2,3,3,3,39,0,37311,3,5,2340,1,0,125,158,0,150,0,57,3,2,51,0,0,3,0,1,4783,2,1212
3782,0,2,67,0,3,132,3,3,1,8,1,3,0,3,16,84,0,16350,8,0,434,1,1,658,175,0,164,1,315,3,0,124,81,0,3,0,8,10482,13,8246
3783,1,2,4,3,3,171,3,3,1,23,1,3,0,3,2,149,245,303,0,4,4107,1,0,2,576,250,528,2,356,289,3,257,1,2,267,0,1,263,1,2
3784,1,4,14,7,5,121,29,10,12,37,2,8,0,7,3,48,3166,534,0,5,51,1,0,300,49,3195,48,0,85,3467,0,70,1,2,3320,1,9,243,1,2
3785,0,4,1,5,4,171,31,0,9,49,2,8,3,5,0,92,8,10,0,0,1169,2,0,752,251,9,233,2,1709,10,0,135,1,2,10,0,9,9,1,2
3786,0,4,4,15,15,59,33,4,10,20,2,1,0,17,3,67,0,101,0,1,29,1,0,21,3,79,3,1,124,93,1,101,1,2,87,0,0,4,1,2
3787,0,4,1,4,3,61,42,2,4,29,2,0,0,3,3,204,4684,5471,0,5,7,0,0,127,138,4741,7,1,2485,5107,5,395,1,2,4887,1,0,3837,1,2
3788,0,2,7,0,6,4,3,3,4,32,1,3,3,8,0,93,198,239,0,0,1267,1,0,60,889,200,791,7,177,226,1,138,1,2,211,0,9,120,1,2
3789,0,2,0,5,3,127,37,1,2,22,1,0,0,3,7,37,10766,12455,0,5,1103,1,0,2,334,10918,305,2,55,11895,5,49,68,0,11254,1,1,6733,3,5291
3790,0,0,38,2,1,23,27,4,13,36,0,1,0,6,3,14,0,15,0,0,272,1,0,176,138,0,7,0,256,3,5,15,0,1,3,0,1,138,4,6
3791,0,2,4,1,4,41,21,1,3,28,1,1,0,5,3,37,0,15,3,5,279,1,0,752,251,0,233,1,326,3,5,49,0,3,3,0,8,1848,3,1410
3792,1,1,0,22,17,4,1,1,3,40,0,1,0,5,7,11,10043,2599,0,0,2735,5,0,2,1160,10166,655,1,4224,2405,1,556,1,2,2284,1,2,27,1,2
3793,0,4,0,13,4,61,29,1,14,20,2,0,0,5,3,36,3584,4227,0,4,6890,1,0,2,1358,3627,1171,2,644,3922,1,56,0,3,3760,0,1,3034,4,7971
3794,1,1,3,3,0,27,4,1,1,3,0,1,0,4,27,36,151,188,0,0,6110,1,0,778,947,154,841,1,366,183,5,264,0,0,165,0,8,168,4,531
3795,0,2,8,3,9,101,3,3,14,36,1,3,0,0,3,111,0,37374,0,5,176,1,0,202,164,0,154,1,568,3,1,172,0,1,3,1,0,20677,13,55
3796,0,4,0,13,2,111,35,7,14,26,2,2,0,11,3,110,36098,500,0,5,1089,1,0,3230,878,36699,783,2,840,38915,0,170,0,1,37475,0,6,417,18,3679
3797,0,2,1,15,17,68,33,2,11,33,1,0,0,11,0,66,8,10,3,0,1220,0,0,14,960,9,271,1,634,10,0,380,1,2,10,0,4,9,1,2
3798,0,4,11,8,4,133,40,19,9,6,2,2,3,5,3,61,0,15,0,5,1535,22,0,94,887,0,271,9,260,3,0,91,0,3,3,1,0,21221,0,16843
3799,0,3,0,4,0,88,20,15,14,40,0,0,0,1,3,204,8,10,0,0,272,1,0,201,138,9,7,2,3002,10,5,1613,1,2,10,3,1,9,1,2
3800,0,2,0,7,9,54,6,15,0,35,1,1,0,0,13,34,36126,6085,4,5,51,1,0,35,49,36728,48,0,51,38944,0,46,736,3,37502,0,9,4224,8,3300
3801,0,13,1,2,3,85,0,6,2,29,2,2,0,3,3,11,8,10,0,0,898,1,0,1924,748,9,673,9,4906,10,0,2429,1,2,10,1,1,9,1,2
3802,1,3,33,3,7,30,0,24,12,24,0,13,3,1,3,14,63,78,3,0,700,3,0,531,608,64,555,1,506,72,6,80,0,0,71,0,1,68,4,48
3803,1,4,1,5,3,101,35,4,16,22,2,1,0,3,0,92,33675,130,0,1,455,1,0,1416,409,18779,376,2,1709,1834,5,135,1,2,35013,0,9,91,1,2
3804,0,2,22,3,3,33,18,16,1,40,1,1,3,3,94,119,36135,1561,0,1,65,1,0,151,17,36739,17,1,1227,38956,6,772,1,2,17477,0,1,1200,1,2
3805,0,2,34,3,5,52,31,10,9,52,1,2,0,7,3,93,114,136,3,1,169,1,0,215,157,117,149,7,293,135,0,218,1,2,124,0,1,120,1,2
3806,0,4,0,5,8,73,34,1,17,6,2,1,0,9,3,9,62,76,0,0,3637,1,0,6855,416,63,383,2,1855,71,5,341,0,3,69,0,1,66,0,6
3807,0,2,3,3,3,40,3,3,0,8,1,3,0,3,3,11,2021,2389,1,0,760,1,0,569,77,2039,75,1,1640,2211,1,974,1,2,2113,1,1,1784,1,2
3808,1,21,0,15,2,7,0,21,12,44,4,11,3,1,0,12,8,10,0,5,6442,1,0,843,2150,9,1773,0,12,10,7,12,0,1,10,0,8,9,2,350
3809,0,2,0,9,7,124,42,3,5,4,1,3,0,1,3,34,0,15,0,5,424,87,1,1833,384,0,351,9,325,3,2,46,73,3,3,1,9,19348,8,15333
3810,0,2,0,11,3,43,3,3,1,1,1,3,0,3,16,11,0,30311,0,4,127,1,1,2,120,0,117,1,6631,3,8,1633,1,2,3,0,2,4463,1,2
3811,0,2,0,11,1,101,3,3,16,10,1,3,0,6,3,36,480,602,1,0,1747,1,0,2,1299,492,1123,2,644,565,4,56,0,0,513,0,9,492,4,3821
3812,0,2,0,5,3,162,3,13,6,31,1,9,0,3,7,45,62,76,0,0,1742,1,1,2,1465,63,1121,2,2481,71,5,793,0,3,69,0,0,66,12,6
3813,0,4,3,3,3,37,1,4,1,3,2,1,0,3,14,14,63,78,0,0,422,1,0,543,382,64,350,1,506,72,5,80,0,0,71,1,1,68,4,48
3814,0,2,6,8,2,9,5,7,12,2,1,3,0,9,0,279,0,15959,14,5,2183,1,0,5232,1559,14102,1321,2,1280,15377,0,632,1,2,14534,0,0,230,1,2
3815,0,2,29,17,7,76,17,2,14,7,1,3,0,1,0,84,0,15,0,6,2818,1,0,4253,1320,0,1140,1,315,3,0,124,41,0,3,0,8,21256,13,16873
3816,0,2,10,4,1,43,3,3,6,15,1,3,0,6,3,11,455,572,0,3,73,1,1,2,70,465,34,2,956,534,8,402,1,2,484,0,1,184,1,2
3817,1,4,3,3,3,171,14,2,5,28,2,1,2,3,3,67,0,101,0,1,927,1,0,193,138,79,7,1,157,93,6,101,1,2,87,3,0,4,1,2
3818,0,4,23,2,5,114,32,2,15,42,2,1,0,1,7,7,5,2,0,0,1307,6,0,2,1015,6,895,1,7,7,0,7,1,2,7,0,1,2,1,2
3819,1,2,7,5,1,53,3,3,2,23,1,3,0,6,9,11,36231,3756,0,5,4034,1,1,10025,1836,36833,1540,1,4841,39051,5,1219,1,2,37612,0,1,2723,1,2
3820,0,0,3,3,0,35,4,4,1,3,0,1,0,4,0,65,25,16,3,0,6564,5,0,2,3447,26,2603,1,440,28,5,97,0,0,29,0,1,14,11,214
3821,1,0,1,2,1,102,19,7,6,1,2,2,0,6,0,28,36238,17043,0,1,400,83,0,2,363,36839,333,0,65,3383,0,32,340,3,37618,0,8,10870,22,8566
3822,0,2,23,7,5,16,31,6,14,26,1,7,0,7,15,67,0,101,6,5,169,57,0,3655,157,79,149,1,124,93,0,101,1,2,87,1,1,4,1,2
3823,0,4,9,0,4,171,9,2,9,36,2,1,2,5,0,30,36252,37512,0,1,355,1,0,813,65,36852,64,2,438,39067,2,36,0,0,37630,0,1,8981,6,100
